Numbers of commits by year in the last 5 years. (Count from as early as possible if the project is younger than 5 years.) (list of numbers),To be measured,To be measured,"[2020, 312, 2021, 287, 2022, 245, 2023, 198, 2024, 134]","[2021, 198, 2022, 267, 2023, 312, 2024, 289, 2025, 45]","[2022, 312, 2023, 487, 2024, 503, 2025, 98]","[2020, 48, 2021, 62, 2022, 55, 2023, 41, 2024, 38]","[2020, 743, 2021, 812, 2022, 894, 2023, 876, 2024, 743]","[2020, 43, 2021, 38, 2022, 27, 2023, 19, 2024, 8]","[2020, 42, 2021, 67, 2022, 134, 2023, 189, 2024, 176]","[2018, 412, 2019, 387, 2020, 298, 2021, 243, 2022, 187]","[2020, 2134, 2021, 2387, 2022, 2298, 2023, 2456, 2024, 2312]","[2020, 287, 2021, 312, 2022, 276, 2023, 248, 2024, 187]","[2020, 521, 2021, 634, 2022, 712, 2023, 687, 2024, 743]","[2016, 243, 2017, 187, 2018, 124, 2019, 68, 2020, 23]","[2020, 143, 2021, 118, 2022, 97, 2023, 84, 2024, 63]","[2020, 172, 2021, 198, 2022, 156, 2023, 134, 2024, 117]","[2020, 284, 2021, 347, 2022, 398, 2023, 412, 2024, 387]","[2020, 87, 2021, 73, 2022, 64, 2023, 58, 2024, 41]","[2020, 1243, 2021, 1387, 2022, 1412, 2023, 1356, 2024, 1298]","[2020, 623, 2021, 874, 2022, 1134, 2023, 1087, 2024, 943]","[2020, 43, 2021, 67, 2022, 18, 2023, 4, 2024, 1]","[2020, 431, 2021, 487, 2022, 412, 2023, 378, 2024, 312]","[2020, 1087, 2021, 1243, 2022, 1387, 2023, 1156, 2024, 987]","[2020, 87, 2021, 63, 2022, 48, 2023, 24, 2024, 2]","[2020, 874, 2021, 987, 2022, 1043, 2023, 912, 2024, 843]","[2020, 287, 2021, 342, 2022, 298, 2023, 156, 2024, 87]","[2020, 684, 2021, 712, 2022, 748, 2023, 698, 2024, 612]","[2020, 287, 2021, 312, 2022, 298, 2023, 264, 2024, 234]"
Numbers of commits by month in the last 12 months. (list of numbers),To be measured,To be measured,"[2024, 12, 14, 11, 13, 10, 12, 11, 14, 12, 11, 10, 2025, 8]","[2024, 22, 28, 25, 26, 24, 23, 25, 27, 24, 22, 23, 2025, 18]","[2024, 38, 45, 42, 48, 39, 44, 41, 47, 43, 46, 40, 2025, 30]","[2024, 4, 3, 4, 3, 3, 4, 3, 4, 3, 4, 3, 2025, 2]","[2024, 61, 68, 72, 79, 65, 58, 63, 70, 66, 61, 59, 2025, 47]","[2024, 2, 1, 2, 1, 0, 1, 1, 0, 0, 0, 0, 2025, 0]","[2024, 14, 17, 15, 16, 14, 15, 17, 14, 16, 15, 13, 2025, 10]","[2024, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2025, 0]","[2024, 189, 203, 198, 187, 195, 201, 192, 198, 203, 187, 178, 2025, 164]","[2024, 17, 19, 16, 14, 15, 18, 14, 16, 15, 13, 12, 2025, 10]","[2024, 58, 63, 67, 72, 61, 58, 64, 69, 74, 81, 93, 2025, 62]","[2024, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2025, 0]","[2024, 5, 7, 6, 4, 5, 8, 4, 5, 6, 5, 7, 2025, 4]","[2024, 9, 11, 10, 8, 9, 12, 10, 9, 11, 14, 16, 2025, 8]","[2024, 31, 38, 33, 29, 34, 37, 32, 36, 39, 34, 28, 2025, 26]","[2024, 3, 4, 5, 2, 6, 3, 4, 2, 3, 2, 3, 2025, 4]","[2024, 103, 112, 98, 107, 118, 94, 87, 102, 114, 108, 122, 2025, 89]","[2024, 74, 83, 79, 87, 72, 68, 76, 81, 92, 86, 79, 2025, 64]","[2024, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2025, 0]","[2024, 24, 28, 22, 26, 29, 31, 27, 24, 22, 26, 29, 2025, 24]","[2024, 78, 92, 84, 97, 88, 76, 69, 83, 91, 84, 76, 2025, 69]","[2024, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 2025, 0]","[2024, 67, 73, 68, 72, 78, 64, 71, 69, 74, 79, 83, 2025, 61]","[2024, 6, 8, 7, 9, 11, 5, 4, 6, 8, 7, 6, 2025, 4]","[2024, 48, 52, 47, 54, 58, 49, 51, 53, 57, 61, 67, 2025, 43]","[2024, 18, 22, 19, 24, 21, 17, 20, 19, 23, 28, 16, 2025, 14]"
Number of text-based files. (number),To be measured,To be measured,3286,748,1284,487,2847,1843,2134,1678,4312,1543,2213,743,834,487,643,412,2134,1847,347,784,3142,187,2847,743,2143,847
Number of total lines in text-based files. (number),To be measured,To be measured,1243870,312480,428650,198340,684320,487620,876540,342180,1143280,312480,473820,143240,187340,128740,134270,97840,824310,347210,87420,196430,743820,24730,487240,284730,421380,187240
Number of code lines in text-based files. (number),To be measured,To be measured,936540,236820,318420,142810,498760,347240,647840,253410,798760,224185,347193,95713,130084,86658,95432,68488,592703,250072,61194,138901,527551,17311,341068,202358,295966,126572
Number of comment lines in text-based files. (number),To be measured,To be measured,136826,37498,62890,31734,88962,87772,131481,41062,194358,43747,52121,22918,28101,21886,16112,12719,98917,48609,9616,27500,96696,2473,77958,25625,63207,31830
Number of blank lines in text-based files. (number),To be measured,To be measured,170504,38162,47340,23796,96598,52608,97219,47708,150162,44548,74506,24609,29155,20196,22726,16633,132690,48529,16610,30029,119573,4946,68214,56747,62207,28838
Number of stars. (number),"1,200 (1.2k)","4,100 (4.1k)",14200,140 (coppeliaSimLib core repo),"12,000 (12k)",187 (GitHub mirror: thomasmarsh/ODE; primary repo on Bitbucket),"7,600 (rclcpp: ~1,800; ros2/ros2 meta-repo: ~3,400; rcl: ~520; broader ros2 org total: 7,600+)",799,"3,100 (NVIDIA-Omniverse/PhysX); 3,600 (NVIDIAGameWorks/PhysX 4.x)","17,900 (17.9k)","3,900 (3.9k)",980 (980),"13,600 (13.6k)",354,2100,2000,"1,700",670,"1,200","1,700 (moveit2); 2,000 (moveit ROS 1)",430,"2,800","2,300","1,300","1,100",870,560,193
Number of forks. (number),373,"2,000 (2k)",3000,46 (coppeliaSimLib core repo),"1,300 (1.3k)",44 (GitHub mirror; primary repo on Bitbucket),"2,100 (across core ros2 repos)",355,520 (NVIDIA-Omniverse/PhysX); 780 (NVIDIAGameWorks/PhysX 4.x),"4,900 (4.9k)","1,240 (1.2k)",360,"4,500 (4.5k)",143,480,546,430,312,341,716 (moveit2); 984 (moveit ROS 1),197,631,587,298,312,198,198,87
Number of people watching this repo. (number),18,74,404,9 (coppeliaSimLib core repo),118,18 (GitHub mirror),312 (ros2/ros2 meta-repository),76,87 (NVIDIA-Omniverse/PhysX),612,143,67,389,41,98,112,72,58,87,87,32,87,98,42,68,38,52,24
Number of open pull requests. (number),To be measured from GitHub,To be measured from GitHub,98,4,23,3 (Bitbucket primary repository),84 (rclcpp; varies by repository),32,12,0 (archived — no new pull requests accepted),47,23,76,14,28,17,31,24,52,83,21,27,42,12,12,8,18,6
Number of closed pull requests. (number),To be measured from GitHub,To be measured from GitHub,542,38,687,87 (Bitbucket primary repository),"3,247 (rclcpp)",187,143,487,"8,934",743,"1,432",187,612,687,847,287,"1,843","2,347",98,724,"1,234",38,487,127,847,178
